geoid,name,population,longitude,latitude
060730187001028,BLOCK 1028,219,-117.56764828995075,33.388584406183455
060730187001029,BLOCK 1029,197,-117.57814265074668,33.388974011684276
060730187001031,BLOCK 1031,110,-117.56516517492726,33.387666811676496
060730187001032,BLOCK 1032,27,-117.56597753042182,33.38812538324774
060730187001048,BLOCK 1048,2981,-117.51022982123114,33.37070881719235
060730187001049,BLOCK 1049,141,-117.56801743195554,33.38637409244766
060730187001050,BLOCK 1050,27,-117.47713918387956,33.37554191610267
060730187001051,BLOCK 1051,0,-117.48094320235812,33.37660284993999
060730187001052,BLOCK 1052,0,-117.48407663835854,33.37783122050496
060730187001053,BLOCK 1053,0,-117.48252822487972,33.37717120414566
060730187001054,BLOCK 1054,176,-117.56502071325316,33.38707533921717
060730187001055,BLOCK 1055,116,-117.56887665255849,33.38673133029157
060730187001056,BLOCK 1056,130,-117.56436894509034,33.38652901187985
060730187001057,BLOCK 1057,0,-117.47911936092164,33.37603956912563
060730187001059,BLOCK 1059,0,-117.47892924596648,33.37710830824735
060730187001060,BLOCK 1060,0,-117.47766323496518,33.37665047223693
060730187001066,BLOCK 1066,0,-117.45849244389532,33.34310277721743
060730187001264,BLOCK 1264,0,-117.45812003920948,33.2979344406982
060730187001265,BLOCK 1265,0,-117.46991681972509,33.310525366787815
060730187001266,BLOCK 1266,0,-117.51038423264532,33.3426570516605
060730187001269,BLOCK 1269,0,-117.48093007527687,33.31552109795579
060730187001270,BLOCK 1270,0,-117.52648610831172,33.3521663279278
060730187001271,BLOCK 1271,0,-117.58474932128352,33.38506328668943
060730187001272,BLOCK 1272,0,-117.58703342892888,33.38818400334427
060730187001276,BLOCK 1276,0,-117.5226910136972,33.34872859300362
060730187001277,BLOCK 1277,0,-117.4870797090483,33.31251276265805
060730187001278,BLOCK 1278,0,-117.57075782806967,33.379733582203606
060730187001279,BLOCK 1279,0,-117.47398175657288,33.30665757583786
060730187001283,BLOCK 1283,0,-117.59109544625198,33.38728548029953
060730187001284,BLOCK 1284,0,-117.58276233590992,33.38039745126506
060730187001285,BLOCK 1285,0,-117.49719323357108,33.31774966149956
060730187001292,BLOCK 1292,0,-117.46125815812746,33.297087762034465
060730187001293,BLOCK 1293,0,-117.47194356093988,33.30794255650206
060730187001294,BLOCK 1294,0,-117.47271508710648,33.30700995541257
060730187001295,BLOCK 1295,0,-117.58022433382251,33.384355581154416
060730187001296,BLOCK 1296,0,-117.5770170473226,33.38537042590072
060730187001297,BLOCK 1297,0,-117.52166735917643,33.34839984191584
060739901000001,BLOCK 0001,0,-117.58765322784735,33.377772289618306
060739901000002,BLOCK 0002,0,-117.532994923568,33.313504625403816
060739901000003,BLOCK 0003,0,-117.45170392380224,33.225599479741064
060730187001044,BLOCK 1044,0,-117.5773454192882,33.43311950161462
060730187001045,BLOCK 1045,0,-117.58678297233944,33.41812993242924
060730187001046,BLOCK 1046,0,-117.59059097754124,33.396916360007616
060730187001047,BLOCK 1047,0,-117.58095455904564,33.41095792670051
060730187001273,BLOCK 1273,0,-117.59155324029716,33.393301983021296
060730187001274,BLOCK 1274,0,-117.59334198006395,33.39585829525577
060730187001275,BLOCK 1275,0,-117.59280712763535,33.39627735096514
060730187001280,BLOCK 1280,212,-117.59330166367398,33.39075552158187
060730187001281,BLOCK 1281,71,-117.59416746174148,33.39104998686301
060730187001282,BLOCK 1282,0,-117.59365382572328,33.395485147766
